City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Kloulklubed,PW,82.78,broken clouds,7.0419,134.2556,Storyboard Beach Resort
466,Sabla,NG,84.97,overcast clouds,12.7525,4.7077,
473,Santa Fe,AR,82.98,light rain,-31.6333,-60.7,Conquistador Hotel
475,Bembereke,BJ,88.18,scattered clouds,10.2283,2.6634,Hotel Bio Guera
476,Macae,BR,83.95,clear sky,-22.3708,-41.7869,Golden Tulip Macaé
478,Beloha,MG,76.46,overcast clouds,-25.1667,45.05,
480,Sao Raimundo Das Mangabeiras,BR,83.39,overcast clouds,-7.0219,-45.4811,Hotel Tropical
482,Daru,PG,78.42,heavy intensity rain,-9.0763,143.2092,Daru Lodge
487,Kirakira,SB,80.82,overcast clouds,-10.4544,161.9205,SanBiz Lodge
489,Sola,VU,82.58,broken clouds,-13.8833,167.55,Leumerus Bungalows
495,Bafata,GW,85.46,few clouds,12.1667,-14.75,
499,Itarema,BR,82.04,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
502,Samarai,PG,82.92,overcast clouds,-10.6167,150.6667,Nuli Sapi
506,Santa Luzia,BR,87.94,scattered clouds,-19.7697,-43.8514,Pousada Chao Earth
512,Morros,BR,80.62,overcast clouds,-9.4467,-46.3003,
517,Lompoc,US,77.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
518,Vallenar,CL,84.99,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
519,Omboue,GA,77.67,light rain,-1.5746,9.2618,Hotel Olako
523,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
524,Buchanan,LR,78.31,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
530,Pochutla,MX,89.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
540,Vogan,TG,82.69,broken clouds,6.3333,1.5333,Hotel Sitsope Phenix
543,Penon Blanco,MX,76.55,clear sky,24.7897,-104.0369,Hotel Lopez
544,Hambantota,LK,78.93,overcast clouds,6.1241,81.1185,Bungalow 63
545,Sinnamary,GF,77.4,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
546,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
552,Turiacu,BR,79.99,light rain,-1.6633,-45.3717,Pousada Maranata
558,Monte Alegre,BR,76.78,moderate rain,-2.0078,-54.0692,Hotel Shekinah
560,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
563,Hualmay,PE,77.29,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
565,Kupang,ID,77.95,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
566,Mbaiki,CF,77.23,broken clouds,3.8678,17.9892,Motel MBM
567,Kilindoni,TZ,81.57,overcast clouds,-7.9139,39.6668,Bustani B&B
571,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
580,Bosaso,SO,77.76,clear sky,11.2842,49.1816,Red Sea Hotel
583,Itaqui,BR,78.53,few clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
585,Rio Grande,BR,75.31,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
589,Ducheng,CN,75.61,overcast clouds,23.2373,111.5317,Xinyongguang Hotel
590,Ahuimanu,US,79.86,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
593,Isangel,VU,80.91,broken clouds,-19.55,169.2667,Tanna Lodge
594,Zamora,EC,79.84,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
601,Pekan,MY,78.91,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
604,Oussouye,SN,82.58,clear sky,12.485,-16.5469,Auberge du Routard
607,Benguela,AO,77.36,few clouds,-12.5763,13.4055,Hotel Praia Morena
608,Campos,BR,84.25,clear sky,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
610,Biu,NG,81.18,broken clouds,10.6129,12.1946,Emir's Palace
611,Kingsville,US,86.41,broken clouds,27.5159,-97.8561,Econo Lodge Kingsville
615,Kavaratti,IN,83.37,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
618,Kailua,US,80.15,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
619,Dhidhdhoo,MV,82.33,broken clouds,6.8833,73.1,Dhidhoo beach
622,Vao,NC,79.79,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
626,Coruripe,BR,82.18,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
627,Byadgi,IN,78.31,scattered clouds,14.6833,75.4833,Narmada Residency
629,Nushki,PK,76.66,clear sky,29.5542,66.0215,Shams hotel
630,Tambura,SS,78.57,overcast clouds,5.6,27.4667,Rikito Lodge
632,Oranjestad,AW,82.35,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
635,Muscat,OM,78.82,clear sky,23.6139,58.5922,Mutrah Hotel
640,Camopi,GF,76.37,overcast clouds,3.1655,-52.3158,La pousada
641,Trairi,BR,81.45,heavy intensity rain,-3.2778,-39.2689,janelas do mar
643,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
644,Redlands,US,81.93,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
646,Palmas,BR,85.98,thunderstorm,-10.2128,-48.3603,Hotel Lago da Palma
651,San Lorenzo,PY,81.59,clear sky,-25.3333,-57.5333,Canarias Hotel
652,Kalmunai,LK,76.89,overcast clouds,7.4167,81.8167,VS Villa
653,Kassala,SD,77.58,overcast clouds,15.451,36.4,Amassi Hotel Gash
654,Birnin Kebbi,NG,85.89,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
